x,y,z
7.92907,11.568,10.0741
7.62263,11.6829,10.189
7.31619,11.4914,10.4189
6.01384,11.4148,10.7253
6.01384,11.4148,11.7212
6.43519,11.1467,13.5599
6.89484,11.9128,14.2493
6.20536,12.3341,13.7514
5.28605,13.4449,12.2192
4.63487,14.5941,10.0741
4.13691,15.1303,8.81008
3.60064,15.3219,8.65686
3.37081,14.4409,9.61448
2.56641,12.3724,11.6063
0.57457,9.99752,14.2876
1.53219,8.92499,15.4368
2.06845,9.34634,14.6707
2.03015,10.304,12.8321
2.29828,11.9894,10.4572
1.26405,12.2575,9.26973
0.881008,11.4148,8.58025
-1.99184,10.1507,8.77177
-3.40912,8.35042,8.61855
-3.63894,7.23959,8.12059
-3.56234,7.27789,8.88668
-3.10268,6.28197,9.806
-1.57049,5.66909,10.2657
-4.44334,5.09452,9.72939
-7.73755,4.0986,9.23143
-9.95922,2.60472,8.31211
-10.4572,2.03015,6.05214
-12.3341,1.37897,4.44334
-15.5134,0.57457,3.71555
-15.1687,-0.57457,4.63487
-14.9388,-2.10676,6.16705
-14.8622,-3.90708,8.35042
-13.0236,-3.10268,9.42295
-12.3724,-5.36266,12.3341
-10.0741,-6.20536,14.9005
-9.65278,-6.89484,16.2029
-9.38465,-6.89484,16.4327
-9.72939,-7.23959,16.969
-9.72939,-7.00976,16.6242
-9.72939,-6.81823,15.4368
-10.4572,-5.51587,13.33
-9.34634,-3.98369,11.6446
-7.85246,-3.33251,10.8785
-8.04398,-3.98369,10.2657
-9.23143,-4.67317,9.49956
-10.5721,-4.44334,8.00568
-10.8785,-3.44742,6.5118
-10.0358,-2.29828,6.05214
-8.35042,-1.53219,5.59248
-7.77585,-0.536266,6.01384
-5.55418,0.344742,6.5118
-5.47757,1.11084,7.46941
-5.7074,2.4898,8.04398
-5.89892,3.94538,7.96737
-5.28605,4.74978,8.54194
-4.36673,6.35858,8.42703
-2.60472,8.04398,7.43111
0.881008,9.76769,6.58841
3.75386,11.2616,6.77993
3.44742,9.69109,7.58433
3.37081,8.81008,8.1972
2.56641,8.1589,8.27381
0.881008,9.0016,6.5118
0.919312,9.99752,5.43926
1.41727,10.8785,5.01791
2.25998,11.6446,5.05622
2.56641,12.1809,4.86469
2.91116,13.33,4.74978
3.40912,14.0961,4.0986
3.90708,15.1687,5.28605
4.0603,15.6666,5.82231
4.25182,16.8924,6.58841
8.81008,17.5818,7.96737
11.9511,18.9225,9.8443
12.7555,19.229,10.8785
12.7172,17.9649,12.2958
13.0236,16.2795,13.5599
13.2151,15.1303,14.4026
13.2151,13.6748,14.2876
10.9934,12.3724,13.828
9.69109,11.1467,13.5216
8.65686,10.4955,13.1002
7.04806,10.1124,12.1043
5.36266,9.49956,11.2616
4.78809,9.0016,9.95922
4.55826,8.42703,9.61448
4.82639,7.77585,9.15482
5.05622,6.93315,9.42295
5.43926,6.39688,10.1507
5.59248,6.5118,10.9551
7.08637,7.3928,10.304
6.70332,8.81008,7.96737
6.12875,8.65686,6.81823
6.74162,8.38873,5.82231
7.46941,8.54194,5.59248
7.58433,9.42295,4.32843
8.12059,8.84838,4.32843
7.85246,7.81416,5.36266
7.54602,7.31619,5.82231
6.97145,6.74162,5.51587
5.28605,6.43519,3.63894
4.0603,5.82231,2.4898
4.32843,4.903,3.52403
4.36673,3.86877,4.78809
5.66909,3.33251,5.89892
5.63079,3.37081,5.89892
4.82639,3.40912,5.36266
4.0603,3.17929,3.90708
2.37489,2.37489,2.68133
1.22575,1.6088,1.30236
0.229828,1.11084,-0.459656
-0.497961,0.421352,-1.95354
-0.995922,-0.229828,-3.02607
-1.6088,-0.689484,-3.83047
-1.83862,-1.41727,-4.25182
-1.41727,-1.6471,-4.63487
-1.72371,-1.95354,-5.24774
-2.52811,-3.21759,-4.97961
-2.37489,-3.60064,-4.97961
-2.4898,-3.86877,-5.09452
-1.37897,-3.44742,-5.17113
-0.268133,-3.06437,-5.28605
0.306437,-2.33659,-5.36266
0.842703,-1.80032,-4.40504
0.919312,-1.45558,-2.22167
0.995922,-1.14914,-1.03423
0.57457,-0.344742,-0.0383047
0.919312,-0.153219,0.842703
0.766094,-0.421352,1.72371
0.421352,0.306437,2.83455
-0.114914,1.11084,3.79216
-0.0766094,1.53219,5.28605
-0.57457,1.07253,7.43111
-2.25998,0.0383047,9.19312
-2.91116,-0.919312,9.88261
-4.903,-0.881008,10.6104
-4.86469,0.0766094,11.185
-4.71148,1.91523,11.0701
-3.40912,4.71148,11.1084
-0.344742,7.58433,11.3765
2.68133,9.57617,13.5982
3.48573,9.99752,16.0114
1.49388,9.69109,18.4246
-1.72371,9.76769,19.4205
-4.29012,9.76769,20.4164
-5.36266,8.81008,22.5232
-3.17929,9.69109,22.7913
3.14098,15.7432,19.8035
9.95922,20.1866,20.1866
10.189,21.9103,18.8459
8.77177,20.2249,17.4669
3.33251,15.7432,17.1988
-1.11084,10.8785,15.207
-5.17113,7.00976,13.4449
-6.5501,5.36266,13.6365
-6.70332,4.86469,13.33
-5.28605,8.00568,13.1385
0.191523,9.53786,10.6487
0.229828,12.5639,5.40096
-1.26405,12.5639,4.25182
-0.536266,12.2575,4.25182
0.57457,12.7938,6.12875
0.766094,13.9046,6.85654
2.25998,14.1727,7.69924
2.14506,13.6365,8.1972
0.881008,14.0195,7.66094
-0.421352,14.5941,6.58841
-1.11084,14.709,5.7074
-1.11084,14.6707,5.63079
-0.995922,13.9812,6.85654
-0.114914,13.5982,7.66094
0.497961,13.4066,8.00568
0.344742,12.8321,8.84838
0.344742,12.947,9.03991
0.612875,13.0236,8.81008
1.03423,13.6365,8.58025
2.33659,13.2151,8.31211
2.94946,12.4107,8.08229
2.4898,11.2999,7.46941
1.76202,10.3806,7.00976
0.65118,9.46126,6.62671
0.459656,8.73347,7.3928
1.95354,7.92907,8.92499
3.2942,8.00568,10.4955
3.48573,8.50364,10.8402
4.13691,8.84838,10.304
3.14098,9.34634,8.81008
2.71963,9.92091,6.77993
3.48573,10.2273,6.09044
4.25182,10.2273,5.55418
5.24774,9.95922,5.43926
7.12467,9.806,6.01384
7.58433,9.76769,6.5501
8.1972,9.49956,6.39688
8.38873,9.46126,5.32435
7.96737,9.8443,3.94538
6.85654,9.69109,2.03015
5.47757,9.30804,-0.0766094
5.09452,8.31211,-0.344742
5.51587,7.46941,-0.57457
6.32027,7.20128,0.153219
5.97553,5.93723,0.995922
5.63079,4.9413,1.18745
4.9413,4.02199,0.995922
5.13283,3.48573,0.383047
4.903,3.02607,-0.612875
5.09452,2.87285,-1.57049
5.78401,2.71963,-1.76202
7.08637,2.60472,-1.07253
7.23959,2.29828,-0.268133
7.08637,1.34066,0.995922
5.66909,0.421352,2.03015
5.05622,-0.268133,2.56641
4.48165,-0.459656,1.87693
3.14098,-0.766094,0.383047
2.22167,-1.14914,-0.727789
0.344742,-1.57049,-0.766094
-2.71963,-2.79624,-0.306437
-5.82231,-4.32843,2.14506
-5.82231,-5.51587,3.75386
-4.78809,-4.903,5.40096
-4.48165,-4.0603,5.78401
-4.0603,-3.48573,7.77585
-2.87285,-4.25182,11.4914
-1.99184,-5.13283,14.7473
-2.14506,-5.66909,17.3903
-1.45558,-4.74978,17.352
-0.842703,-2.83455,16.1263
-0.153219,-0.995922,14.2493
0.689484,-0.191523,12.4873
-0.0383047,0.0766094,10.4572
-0.65118,-0.268133,10.4189
-1.87693,-0.881008,10.6104
-2.03015,-0.536266,10.8402
0.881008,0.536266,11.5297
3.06437,1.72371,12.0277
8.00568,4.13691,13.4449
11.3382,4.32843,15.6666
8.81008,2.4898,15.6666
5.7457,1.87693,13.4449
5.24774,0.842703,12.6022
1.99184,0.65118,12.6788
-0.153219,1.49388,13.1768
-0.306437,2.37489,14.211
0.0383047,3.02607,14.8622
-0.727789,4.32843,13.9429
-1.22575,4.63487,13.6748
-1.18745,4.86469,13.5599
-0.881008,5.47757,13.6365
-0.383047,7.20128,13.2917
0.727789,9.53786,12.066
0.804398,10.0358,11.568
0.957617,9.806,11.4531
0.919312,9.0016,11.5297
1.26405,8.50364,11.7978
1.34066,8.50364,11.1467
1.76202,8.77177,11.2999
1.49388,9.23143,10.9934
0.344742,8.61855,10.9934
